line_number,committee_name,file_number,related_line_number,committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,recipient_prefix,recipient_suffix,beneficiary_committee_name,disbursement_type,disbursement_description,disbursement_date,disbursement_amount,semi_annual_bundled_refund,candidate_office,candidate_office_district,transaction_id,image_number,entity_type,amendment_indicator,memo_code,memo_text,back_reference_transaction_id,back_reference_schedule_name,load_timestamp
23,RAPTOR PAC,1977340,25,C00749481,"CLAY FULLER FOR CONGRESS, INC.",TRENTON,GA,307520849,,,"CLAY FULLER FOR CONGRESS, INC.",,POLITICAL CONTRIBUTION,2026-04-08,5000.00,,H,14,B1C73AE0ADEE5456C867,202605209867468227,CCM,A,,,,,2026-05-20 13:41:08
23,RAPTOR PAC,1977340,24,C00749481,CLAUDIA TENNEY FOR CONGRESS,VICTOR,NY,14564,,,CLAUDIA TENNEY FOR CONGRESS,,POLITICAL CONTRIBUTION,2026-04-08,1000.00,,H,24,B5956053840A541E4B08,202605209867468227,CCM,A,,,,,2026-05-20 13:41:08
23,RAPTOR PAC,1977340,23,C00749481,CAROL FOR CONGRESS,ALEXANDRIA,VA,223145404,,,CAROL FOR CONGRESS,,POLITICAL CONTRIBUTION,2026-04-08,1000.00,,H,01,B73F5B0045DDF4249AB3,202605209867468227,CCM,A,,,,,2026-05-20 13:41:08
23,RAPTOR PAC,1977340,22,C00749481,CAREY FOR CONGRESS,COLUMBUS,OH,432166032,,,CAREY FOR CONGRESS,,POLITICAL CONTRIBUTION,2026-04-27,4000.00,,H,15,BF0A34BDC50F64694AD2,202605209867468226,CCM,A,,,,,2026-05-20 13:41:08
23,RAPTOR PAC,1977340,21,C00749481,CAREY FOR CONGRESS,COLUMBUS,OH,432166032,,,CAREY FOR CONGRESS,,POLITICAL CONTRIBUTION,2026-04-27,1000.00,,H,15,BF5CAE16C062A4E74BA3,202605209867468226,CCM,A,,,,,2026-05-20 13:41:08
23,RAPTOR PAC,1977340,20,C00749481,CAPTAIN HIGGINS FOR CONGRESS,LAFAYETTE,LA,705961747,,,CAPTAIN HIGGINS FOR CONGRESS,,POLITICAL CONTRIBUTION,2026-04-08,1000.00,,H,03,BF10B62E022FE4F0FA2A,202605209867468226,CCM,A,,,,,2026-05-20 13:41:08
23,RAPTOR PAC,1977340,19,C00749481,BRANDON HERRERA FOR CONGRESS,HELOTES,TX,780234132,,,BRANDON HERRERA FOR CONGRESS,,POLITICAL CONTRIBUTION,2026-04-17,5000.00,,H,23,B47C37A4C258049B6B06,202605209867468225,CCM,A,,,,,2026-05-20 13:41:08
23,RAPTOR PAC,1977340,18,C00749481,BETH VAN DUYNE FOR CONGRESS,IRVING,TX,75063,,,BETH VAN DUYNE FOR CONGRESS,,POLITICAL CONTRIBUTION,2026-04-08,1000.00,,H,24,B3F698EC6CB6F4F36934,202605209867468225,CCM,A,,,,,2026-05-20 13:41:08
23,RAPTOR PAC,1977340,17,C00749481,ANDY OGLES FOR CONGRESS,COLUMBIA,TN,384013355,,,ANDY OGLES FOR CONGRESS,,POLITICAL CONTRIBUTION,2026-04-17,5000.00,,H,05,B0E6AAC993B0548B9BF9,202605209867468225,CCM,A,,,,,2026-05-20 13:41:08
21B,RAPTOR PAC,1977340,16,C00749481,THE CAPITAL GRILLE,WASHINGTON,DC,200042601,,,,,CATERING,2026-04-15,343.90,,,,BA495408317BD4F2DB62,202605209867468224,ORG,A,,,,,2026-05-20 13:41:08
