line_number,committee_name,file_number,related_line_number,committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,recipient_prefix,recipient_suffix,beneficiary_committee_name,disbursement_type,disbursement_description,disbursement_date,disbursement_amount,semi_annual_bundled_refund,candidate_office,candidate_office_district,transaction_id,image_number,entity_type,amendment_indicator,memo_code,memo_text,back_reference_transaction_id,back_reference_schedule_name,load_timestamp
21,AUGUST PFLUGER FOR CONGRESS,1965022,2391,C00719294,NRCC,WASHINGTON,DC,20003,,,NRCC,,POLITICAL CONTRIBUTION,2026-03-25,80000.00,,,,B9FBF8331B968444D94A,202604159857783750,PTY,A,,,,,2026-04-15 15:16:24
21,AUGUST PFLUGER FOR CONGRESS,1965022,2390,C00719294,MCCLINTOCK FOR CONGRESS,WILTON,CA,95693,,,MCCLINTOCK FOR CONGRESS,,POLITCAL CONTRIBUTION,2026-02-19,2000.00,,H,05,B8E2D871295B44E1885B,202604159857783750,CCM,A,,,,,2026-04-15 15:16:24
21,AUGUST PFLUGER FOR CONGRESS,1965022,2389,C00719294,ELLEN FLEISCHMANN FOR STATE REP,,,,,,,,LOCAL POLITICAL CONTRIBUTION,2026-02-19,1000.00,,,,B28361167133649CEB2B,202604159857783750,COM,A,,,,,2026-04-15 15:16:24
18,AUGUST PFLUGER FOR CONGRESS,1965022,2388,C00719294,NRCC,WASHINGTON,DC,20003,,,NRCC,,TRANSFER: POLITICAL CONTRIBUTION,2026-02-27,50000.00,,,,BBC66B50708D14C3DBA3,202604159857783749,PTY,A,,,,,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2387,C00719294,TARGETED VICTORY,ARLINGTON,VA,222015420,,,,,FUNDRAISING CONSULTING,2026-03-31,27312.98,,,,B49B2F85D2A484C9E895,202604159857783748,ORG,A,,,,,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2386,C00719294,BELL,WASHINGTON,DC,200034309,,,,,PAYROLL,2026-03-31,230.88,,,,B8276AABCBB534AC3964,202604159857783747,IND,A,X,,B63D224765F3C45699F0,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2385,C00719294,BYERS,WASHINGTON,DC,200034895,,,,,PAYROLL,2026-03-31,439.75,,,,BAEE83273DA8446C5AD5,202604159857783747,IND,A,X,,B63D224765F3C45699F0,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2384,C00719294,OLIVER,WASHINGTON,DC,200025722,,,,,PAYROLL,2026-03-31,295.29,,,,BAB4386A83A604328AF9,202604159857783747,IND,A,X,,B63D224765F3C45699F0,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2383,C00719294,WEATHERS,,,,,,,,PAYROLL,2026-03-31,2099.58,,,,BFAC8E0B623AB4E53AE8,202604159857783746,IND,A,X,,B63D224765F3C45699F0,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2382,C00719294,GUSTO,DENVER,CO,802021503,,,,,SEE MEMO ITEMS,2026-03-31,3065.50,,,,B63D224765F3C45699F0,202604159857783746,ORG,A,,,,,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2381,C00719294,GUSTO,DENVER,CO,802021503,,,,,PAYROLL TAXES,2026-03-31,994.88,,,,B3168ED644EDF466D8E8,202604159857783746,ORG,A,,,,,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2380,C00719294,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22219,,,,,E-MERCHANT FEES,2026-03-30,559.06,,,,B7FBB328D6C1F405EB74,202604159857783745,ORG,A,X,,B83F6E57D11B64249BB3,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2379,C00719294,CFS COMPLIANCE,BETHESDA,MD,20824,,,,,E-MERCHANT FEES,2026-03-30,65.81,,,,B6DD8217EF94145B7A8E,202604159857783745,ORG,A,X,,B83F6E57D11B64249BB3,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2378,C00719294,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22219,,,,,E-MERCHANT FEES/SEE MEMO ITEMS,2026-03-30,624.87,,,,B83F6E57D11B64249BB3,202604159857783745,ORG,A,,,,,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2377,C00719294,INTERNATIONAL CONSERVATION CAUCUS FOUNDATION,WASHINGTON,DC,200073211,,,,,TRAVEL SERVICES,2026-03-27,17675.95,,,,B78D3DEA0762D4FBF9A5,202604159857783744,ORG,A,,,,,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2376,C00719294,HOLDEN,MT PLEASANT,SC,294666874,,,,,STRATEGIC CAMPAIGN CONSULTING,2026-03-27,1425.00,,,,B2853A13EAEE64807B79,202604159857783744,IND,A,,,,,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2375,C00719294,HOLDEN,MT PLEASANT,SC,294666874,,,,,VOID: STRATEGIC CAMPAIGN CONSULTING. WRONG ADDRESS. SEE REISSUE ON 3/27/2026,2026-03-27,-1425.00,,,,B2A4E3947985E4DDC8ED,202604159857783744,IND,A,,,,,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2374,C00719294,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22219,,,,,E-MERCHANT FEES,2026-03-23,226.60,,,,BA56EF974A4634EF68F7,202604159857783743,ORG,A,X,,BE5F72A94955F48A183B,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2373,C00719294,CFS COMPLIANCE,BETHESDA,MD,20824,,,,,E-MERCHANT FEES,2026-03-23,12.67,,,,BE7BD811FA6A34780A8E,202604159857783743,ORG,A,X,,BE5F72A94955F48A183B,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2372,C00719294,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22219,,,,,E-MERCHANT FEES/SEE MEMO ITEMS,2026-03-23,239.27,,,,BE5F72A94955F48A183B,202604159857783743,ORG,A,,,,,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2371,C00719294,CITICARD,LOUISVILLE,KY,402901037,,,,,CARD SERVICE FEE,2026-02-24,0.23,,,,B7211F9542C554B6EBBF,202604159857783742,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2370,C00719294,CITICARD,LOUISVILLE,KY,402901037,,,,,CARD SERVICE FEE,2026-02-24,90.00,,,,B9C3892CE6AD3460B82B,202604159857783742,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2369,C00719294,CITICARD,LOUISVILLE,KY,402901037,,,,,CARD SERVICE FEE,2026-02-24,1.81,,,,B79B5C816414B4E76BA4,202604159857783742,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2368,C00719294,DALLAS TAXI AND LIMO,ADDISON,TX,750015108,,,,,TRANSPORTATION,2026-02-23,216.00,,,,BBC90A7E772B04E66921,202604159857783741,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2367,C00719294,UBER,SAN FRANCISCO,CA,94102,,,,,TRANSPORTATION,2026-02-22,31.98,,,,B57E9E161797B42CE9B1,202604159857783741,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2366,C00719294,UBER,SAN FRANCISCO,CA,94102,,,,,TRANSPORTATION,2026-02-22,72.62,,,,B661B69341AF2440D900,202604159857783741,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2365,C00719294,"MARRIOTT HOTEL - IRVING, TX",IRVING,TX,750395404,,,,,LODGING,2026-02-22,91.86,,,,B1F405F9691204C03987,202604159857783740,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2364,C00719294,"MARRIOTT HOTEL - IRVING, TX",IRVING,TX,750395404,,,,,MEAL EXPENSE,2026-02-22,25.65,,,,B91E8685C54954DDF986,202604159857783740,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2363,C00719294,KAYNE PRIME,NASHVILLE,TN,372033105,,,,,CATERING EXPENSE,2026-02-22,684.25,,,,B5C3E53C3C80940F7A86,202604159857783740,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2362,C00719294,KAYNE PRIME,NASHVILLE,TN,372033105,,,,,MEAL EXPENSE,2026-02-22,56.47,,,,B41868493040E417EB3B,202604159857783739,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2361,C00719294,UBER,SAN FRANCISCO,CA,94102,,,,,TRANSPORTATION,2026-02-22,34.98,,,,B7046C550374A40B1A89,202604159857783739,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2360,C00719294,UBER,SAN FRANCISCO,CA,94102,,,,,TRANSPORTATION,2026-02-21,29.97,,,,B454D9FEDD2CB4D7D9B1,202604159857783739,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2359,C00719294,UBER,SAN FRANCISCO,CA,94102,,,,,TRANSPORTATION,2026-02-21,27.99,,,,B3C44EAE30F8246FC825,202604159857783738,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2358,C00719294,UBER,SAN FRANCISCO,CA,94102,,,,,TRANSPORTATION,2026-02-21,5.00,,,,BA681166A484C41C3966,202604159857783738,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2357,C00719294,UBER,SAN FRANCISCO,CA,94102,,,,,TRANSPORTATION,2026-02-21,77.03,,,,B3D853895BF794A9A9FD,202604159857783738,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2356,C00719294,CURB SVC TAXI,ASTORIA,NY,111064923,,,,,TRANSPORTATION,2026-02-21,35.10,,,,B6657F38A198848C78B9,202604159857783737,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2355,C00719294,CURB SVC TAXI,ASTORIA,NY,111064923,,,,,TRANSPORTATION,2026-02-21,32.50,,,,B59C5427EC73A414196C,202604159857783737,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2354,C00719294,UNITED AIRLINES,CHICAGO,IL,60666,,,,,AIRFARE FEE,2026-02-20,10.00,,,,BB66FE7F4C9334AF7973,202604159857783737,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2353,C00719294,UNITED AIRLINES,CHICAGO,IL,60666,,,,,AIRFARE FEE,2026-02-20,81.71,,,,BBD8F4CB3B31F42539F3,202604159857783736,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2352,C00719294,UNITED AIRLINES,CHICAGO,IL,60666,,,,,AIRFARE FEE,2026-02-20,86.01,,,,BD48D1AA1BE5A4A48BDC,202604159857783736,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2351,C00719294,UBER,SAN FRANCISCO,CA,94102,,,,,TRANSPORTATION,2026-02-20,46.99,,,,B3B7A6D1297314E02862,202604159857783736,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
17,AUGUST PFLUGER FOR CONGRESS,1965022,2350,C00719294,UBER,SAN FRANCISCO,CA,94102,,,,,TRANSPORTATION,2026-02-20,176.38,,,,B44BDCA460CE84048872,202604159857783735,ORG,A,X,,BC0FAF6D3FEB44DEE994,SB17,2026-04-15 15:16:24
